company	description	source
Uber	Uber Technologies Inc. is a transportation network company headquartered in San Francisco, California, United States, operating in 570 cities worldwide. It develops, markets and operates the Uber car transportation and food delivery mobile apps. Uber drivers use their own cars, although drivers can rent a car to drive with Uber.	Wikipedia
Google	Google is an American multinational technology company specializing in Internet-related services and products. These include online advertising technologies, search, cloud computing, software, and hardware	Wikipedia
Tesla	Tesla is a major American automaker, energy storage company, and solar panel manufacturer based in Palo Alto, California. The company specializes in electric cars, Lithium-ion battery energy storage, and, through their SolarCity subsidiary, residential solar panels.	Wikipedia
Mobileye	Mobileye is a pioneer in the development of vision systems for on-board Driving Assistance Systems. Founded in 1999, the company is recognized as the leading provider of vision-based driver assistance technologies and has been selected by major automotive companies worldwide for their production vehicles.	Crunchbase
deCarta	deCarta is the leading provider of advanced and comprehensive geospatial software platforms for today's cutting-edge Internet, mobile, personal navigation and enterprise location-based service (LBS) applications. deCarta's technology is a crucial link in the LBS value chain as it extends from base map data and content through to the application, service provider and on to the end-user.	Crunchbase
AutoNavi	AutoNavi Holdings Limited is a Chinese provider of digital map content and navigation solutions. The company has built a mobile and internet location-based service platform that offers its customers and business partners a broad range of solutions serving various aspects of customer needs.	Crunchbase
Sylpheo	Sylpheo is a French software-development company. Sylpheo accelerates the expansion of its connected vehicle and mobility services programs.	Crunchbase
Waymo	Waymo is an autonomous car development company spun out of Google's parent company, Alphabet Inc., in December 2016. It then took over the self-driving car project which Google had begun in 2009. Alphabet describes Waymo as "a self-driving tech company with a mission to make it safe and easy for people and things to move around."	Wikipedia
